URL,HTTP Status,Title Tag,Meta Description,H1,Word Count,Canonical Tag,Indexability Status,Page Type
https://www.researchpeptide.uk/,200 expected,Research Peptides UK | Research-Grade Peptides,"Buy research peptides in the UK for laboratory use, with batch documentation, discreet shipping, and research-only support.",Research Peptides UK for Laboratory Research,37,https://www.researchpeptide.uk/,"index, follow",Homepage
https://www.researchpeptide.uk/shop,200 expected,Buy Research Peptides UK | Peptide Catalog,"Browse research peptides for UK laboratories, including GLP, GHRP, KPV, IGF and specialist peptide categories for research use.",Shop Peptides for Research Use,35,https://www.researchpeptide.uk/shop,"index, follow",Product Listing
https://www.researchpeptide.uk/categories,200 expected,Peptide Categories UK | Research Compound Groups,"Explore peptide categories for UK research workflows, from GLP and GHRP peptides to KPV, IGF and specialist compounds.",Research Peptide Categories,36,https://www.researchpeptide.uk/categories,"index, follow",Category Hub
https://www.researchpeptide.uk/blog,200 expected,Peptide Research Blog UK | Scientific Insights,"Read peptide research insights covering synthesis, purity, storage, GLP pathways, IGF signalling and laboratory protocol planning.",Peptide Research Insights,34,https://www.researchpeptide.uk/blog,"index, follow",Blog Hub
https://www.researchpeptide.uk/faq,200 expected,"Research Peptides FAQ UK | Purity, Storage, Shipping","Get answers about research peptide purity, storage, UK shipping, discreet packaging, payment policy and research-use restrictions.",Researcher FAQ,37,https://www.researchpeptide.uk/faq,"index, follow",FAQ
https://www.researchpeptide.uk/shipping,200 expected,Research Peptide Shipping UK | Delivery Protocols,"Review UK and international peptide shipping protocols, tracked dispatch, discreet packaging and customs responsibilities.",Shipping and Delivery,38,https://www.researchpeptide.uk/shipping,"index, follow",Support
https://www.researchpeptide.uk/contact,200 expected,Contact Research Peptides UK | Technical Support,"Contact Research Peptides UK for COA requests, bulk procurement, product stability data, shipping questions and researcher support.",Contact Research Peptides UK,31,https://www.researchpeptide.uk/contact,"index, follow",Support
https://www.researchpeptide.uk/about-us,200 expected,About Research Peptides UK | Research-Only Supplier,"Learn about Research Peptides UK, a research-only peptide supplier focused on documentation, quality controls and technical support.",About Research Peptides UK,31,https://www.researchpeptide.uk/about-us,"index, follow",Trust
https://www.researchpeptide.uk/peptide-guide,200 expected,Peptide Guide UK | Research Handling Basics,"Learn peptide basics for research settings, including synthesis, purification, storage, reconstitution and quality verification.",Peptide Guide,32,https://www.researchpeptide.uk/peptide-guide,"index, follow",Guide
https://www.researchpeptide.uk/peptide-calculator,200 expected,Peptide Calculator | Research Reconstitution Tool,"Use the peptide calculator for research planning estimates covering mass, diluent volume, concentration and target dose volume.",Peptide Calculator,29,https://www.researchpeptide.uk/peptide-calculator,"index, follow",Utility
https://www.researchpeptide.uk/coas,200 expected,COA Library UK | Peptide Batch Verification,"Search peptide Certificate of Analysis references, purity records, batch IDs, test dates and lab verification notes.",COA Library,34,https://www.researchpeptide.uk/coas,"index, follow",Trust
https://www.researchpeptide.uk/peptide-information,200 expected,Peptide Information UK | Synthesis and Purity Basics,"Explore peptide chemistry information for research use, including synthesis, solubility, purification and analytical interpretation.",Peptide Information,27,https://www.researchpeptide.uk/peptide-information,"index, follow",Guide
https://www.researchpeptide.uk/peptide-research,200 expected,"Peptide Research UK | GLP, KPV and IGF Briefs","Read research briefs on GLP peptides, KPV peptide, IGF-1 peptide, mitochondrial peptides and experimental pathway topics.",Peptide Research,30,https://www.researchpeptide.uk/peptide-research,"index, follow",Guide
https://www.researchpeptide.uk/terms,200 expected,Terms and Conditions | Research Peptides UK,"Read Research Peptides UK terms covering research-only use, buyer eligibility, compliance responsibilities and order policies.",Terms and Conditions,34,https://www.researchpeptide.uk/terms,"index, follow",Policy
https://www.researchpeptide.uk/privacy,200 expected,Privacy Policy | Research Peptides UK,"Review how Research Peptides UK handles researcher data, order information, security, retention and UK privacy rights.",Privacy Policy,31,https://www.researchpeptide.uk/privacy,"index, follow",Policy
https://www.researchpeptide.uk/refund-returns,200 expected,Refunds and Returns | Research Peptides UK,"Understand Research Peptides UK refund and returns policy for research compounds, shipping issues and batch concerns.",Refunds and Returns,26,https://www.researchpeptide.uk/refund-returns,"index, follow",Policy
https://www.researchpeptide.uk/product/tb500-frag,200 expected,TB500 (Frag) | Research Peptides UK,Thymosin beta fragment scaffold.,TB500 (Frag),4,https://www.researchpeptide.uk/product/tb500-frag,"index, follow",Product Page
https://www.researchpeptide.uk/product/hgh-fragment-176-191,200 expected,HGH Fragment 176-191 | Research Peptides UK,Isolated C-terminal fragment reference material.,HGH Fragment 176-191,5,https://www.researchpeptide.uk/product/hgh-fragment-176-191,"index, follow",Product Page
https://www.researchpeptide.uk/product/dsip,200 expected,DSIP | Research Peptides UK,Delta sleep-inducing peptide reference standard.,DSIP,5,https://www.researchpeptide.uk/product/dsip,"index, follow",Product Page
https://www.researchpeptide.uk/product/selank,200 expected,Selank | Research Peptides UK,Anxiolytic peptide nootropic scaffold for neurochemical studies.,Selank,7,https://www.researchpeptide.uk/product/selank,"index, follow",Product Page
https://www.researchpeptide.uk/product/snap-8,200 expected,SNAP-8 | Research Peptides UK,Neurotransmitter-snare mimetic cosmetic-research peptide.,SNAP-8,4,https://www.researchpeptide.uk/product/snap-8,"index, follow",Product Page
https://www.researchpeptide.uk/product/ace-031,200 expected,ACE-031 | Research Peptides UK,Myostatin pathway research ligand.,ACE-031,4,https://www.researchpeptide.uk/product/ace-031,"index, follow",Product Page
https://www.researchpeptide.uk/product/cjc-1295-no-dac-ipamorelin-blend,200 expected,CJC-1295 (No DAC) + Ipamorelin Blend | Research Peptides UK,Combined secretagogue blend in one vial pack size.,CJC-1295 (No DAC) + Ipamorelin Blend,8,https://www.researchpeptide.uk/product/cjc-1295-no-dac-ipamorelin-blend,"index, follow",Product Page
https://www.researchpeptide.uk/product/insulin-3ml,200 expected,Insulin (3ml) | Research Peptides UK,Injectable insulin reference listing (laboratory supply).,Insulin (3ml),6,https://www.researchpeptide.uk/product/insulin-3ml,"index, follow",Product Page
https://www.researchpeptide.uk/product/ahk-cu,200 expected,AHK-CU | Research Peptides UK,Copper-binding tripeptide analog.,AHK-CU,3,https://www.researchpeptide.uk/product/ahk-cu,"index, follow",Product Page
https://www.researchpeptide.uk/product/nad,200 expected,NAD+ | Research Peptides UK,Nicotinamide adenine dinucleotide bulk vials.,NAD+,5,https://www.researchpeptide.uk/product/nad,"index, follow",Product Page
https://www.researchpeptide.uk/product/retatrutide-cagrilintide-blend,200 expected,Retatrutide + Cagrilintide Blend | Research Peptides UK,Combined metabolic agonist blend vial.,Retatrutide + Cagrilintide Blend,5,https://www.researchpeptide.uk/product/retatrutide-cagrilintide-blend,"index, follow",Product Page
https://www.researchpeptide.uk/product/survodutide,200 expected,Survodutide | Research Peptides UK,GCGR / GLP-1 dual agonist class (research).,Survodutide,7,https://www.researchpeptide.uk/product/survodutide,"index, follow",Product Page
https://www.researchpeptide.uk/product/thymalin,200 expected,Thymalin | Research Peptides UK,Thymic peptide complex analog.,Thymalin,4,https://www.researchpeptide.uk/product/thymalin,"index, follow",Product Page
https://www.researchpeptide.uk/product/cjc-1295-with-dac,200 expected,CJC-1295 (With DAC) | Research Peptides UK,Extended half-life GHRH analog (DAC).,CJC-1295 (With DAC),5,https://www.researchpeptide.uk/product/cjc-1295-with-dac,"index, follow",Product Page
https://www.researchpeptide.uk/product/follistatin,200 expected,Follistatin | Research Peptides UK,Binding protein / regulatory scaffold.,Follistatin,5,https://www.researchpeptide.uk/product/follistatin,"index, follow",Product Page
https://www.researchpeptide.uk/product/hcg,200 expected,HCG | Research Peptides UK,Gonadotropin scaffold (labeled purity by IU). Research use.,HCG,8,https://www.researchpeptide.uk/product/hcg,"index, follow",Product Page
https://www.researchpeptide.uk/product/hyaluronic-acid,200 expected,Hyaluronic Acid | Research Peptides UK,Glycosaminoglycan hydrator reference.,Hyaluronic Acid,3,https://www.researchpeptide.uk/product/hyaluronic-acid,"index, follow",Product Page
https://www.researchpeptide.uk/product/testagen,200 expected,Testagen | Research Peptides UK,Research peptide listing.,Testagen,3,https://www.researchpeptide.uk/product/testagen,"index, follow",Product Page
https://www.researchpeptide.uk/product/cagrilintide,200 expected,Cagrilintide | Research Peptides UK,Long-acting amylin analog (research).,Cagrilintide,4,https://www.researchpeptide.uk/product/cagrilintide,"index, follow",Product Page
https://www.researchpeptide.uk/product/igf-1-lr3,200 expected,IGF-1 LR3 | Research Peptides UK,Long-acting insulin-like growth factor analog.,IGF-1 LR3,5,https://www.researchpeptide.uk/product/igf-1-lr3,"index, follow",Product Page
https://www.researchpeptide.uk/product/pt-141,200 expected,PT-141 | Research Peptides UK,Melanocortin receptor agonist.,PT-141,3,https://www.researchpeptide.uk/product/pt-141,"index, follow",Product Page
https://www.researchpeptide.uk/product/retatrutide,200 expected,Retatrutide | Research Peptides UK,Triple GLP-1 / GIP / glucagon receptor agonist scaffold (research).,Retatrutide,10,https://www.researchpeptide.uk/product/retatrutide,"index, follow",Product Page
https://www.researchpeptide.uk/product/bpc-157-ghk-cu-tb500-blend-70mg,200 expected,BPC-157 + GHK-CU + TB500 Blend (70mg) | Research Peptides UK,Multi-component lyophilized blend as listed.,BPC-157 + GHK-CU + TB500 Blend (70mg),5,https://www.researchpeptide.uk/product/bpc-157-ghk-cu-tb500-blend-70mg,"index, follow",Product Page
https://www.researchpeptide.uk/product/dermorphin,200 expected,Dermorphin | Research Peptides UK,Opioid heptapeptide analog.,Dermorphin,3,https://www.researchpeptide.uk/product/dermorphin,"index, follow",Product Page
https://www.researchpeptide.uk/product/melatonin,200 expected,Melatonin | Research Peptides UK,Indoleamine hormone reference standard.,Melatonin,4,https://www.researchpeptide.uk/product/melatonin,"index, follow",Product Page
https://www.researchpeptide.uk/product/mgf,200 expected,MGF | Research Peptides UK,Mechano growth factor splice variant analog.,MGF,6,https://www.researchpeptide.uk/product/mgf,"index, follow",Product Page
https://www.researchpeptide.uk/product/semaglutide,200 expected,Semaglutide | Research Peptides UK,GLP-1 receptor agonist scaffold (research).,Semaglutide,5,https://www.researchpeptide.uk/product/semaglutide,"index, follow",Product Page
https://www.researchpeptide.uk/product/vip,200 expected,VIP | Research Peptides UK,Vasoactive intestinal peptide.,VIP,3,https://www.researchpeptide.uk/product/vip,"index, follow",Product Page
https://www.researchpeptide.uk/product/alprostadil,200 expected,Alprostadil | Research Peptides UK,Prostaglandin E1 analog.,Alprostadil,3,https://www.researchpeptide.uk/product/alprostadil,"index, follow",Product Page
https://www.researchpeptide.uk/product/igf-des,200 expected,IGF-DES | Research Peptides UK,Short IGF variant analog.,IGF-DES,4,https://www.researchpeptide.uk/product/igf-des,"index, follow",Product Page
https://www.researchpeptide.uk/product/mazdutide,200 expected,Mazdutide | Research Peptides UK,GLP-1 / glucagon co-agonist class (research).,Mazdutide,6,https://www.researchpeptide.uk/product/mazdutide,"index, follow",Product Page
https://www.researchpeptide.uk/product/peg-mgf,200 expected,PEG MGF | Research Peptides UK,PEGylated mechano growth factor analog.,PEG MGF,5,https://www.researchpeptide.uk/product/peg-mgf,"index, follow",Product Page
https://www.researchpeptide.uk/product/sermorelin-acetate,200 expected,Sermorelin Acetate (powder list) | Research Peptides UK,GHRH fragment secretagogue analog.,Sermorelin Acetate (powder list),4,https://www.researchpeptide.uk/product/sermorelin-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/cagrilintide-semaglutide-blend,200 expected,Cagrilintide + Semaglutide Blend | Research Peptides UK,Combined incretin-related blend vial.,Cagrilintide + Semaglutide Blend,4,https://www.researchpeptide.uk/product/cagrilintide-semaglutide-blend,"index, follow",Product Page
https://www.researchpeptide.uk/product/cjc-1295-without-dac,200 expected,CJC-1295 (Without DAC) | Research Peptides UK,GHRH analog scaffold without drug affinity complex.,CJC-1295 (Without DAC),7,https://www.researchpeptide.uk/product/cjc-1295-without-dac,"index, follow",Product Page
https://www.researchpeptide.uk/product/ghrp-2-acetate,200 expected,GHRP-2 Acetate | Research Peptides UK,Growth hormone secretagogue peptide (acetate salt).,GHRP-2 Acetate,6,https://www.researchpeptide.uk/product/ghrp-2-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/glutathione,200 expected,Glutathione | Research Peptides UK,Tripeptide antioxidant reference bulk.,Glutathione,4,https://www.researchpeptide.uk/product/glutathione,"index, follow",Product Page
https://www.researchpeptide.uk/product/kpv,200 expected,KPV | Research Peptides UK,Anti-inflammatory tripeptide fragment.,KPV,3,https://www.researchpeptide.uk/product/kpv,"index, follow",Product Page
https://www.researchpeptide.uk/product/lemon-bottle,200 expected,Lemon Bottle | Research Peptides UK,Accessory listing from catalog (research supply).,Lemon Bottle,6,https://www.researchpeptide.uk/product/lemon-bottle,"index, follow",Product Page
https://www.researchpeptide.uk/product/bacteriostatic-water,200 expected,Bacteriostatic Water | Research Peptides UK,Sterile diluent for reconstitution (multi-SKU listing).,Bacteriostatic Water,6,https://www.researchpeptide.uk/product/bacteriostatic-water,"index, follow",Product Page
https://www.researchpeptide.uk/product/hmg,200 expected,HMG | Research Peptides UK,Gonadotropin blend (labeled IU).,HMG,4,https://www.researchpeptide.uk/product/hmg,"index, follow",Product Page
https://www.researchpeptide.uk/product/n-acetyl-epitalon-amidate,200 expected,N-Acetyl Epitalon Amidate | Research Peptides UK,Stabilized epithalon derivative.,N-Acetyl Epitalon Amidate,3,https://www.researchpeptide.uk/product/n-acetyl-epitalon-amidate,"index, follow",Product Page
https://www.researchpeptide.uk/product/pinealon,200 expected,Pinealon | Research Peptides UK,Bioregulatory tripeptide.,Pinealon,2,https://www.researchpeptide.uk/product/pinealon,"index, follow",Product Page
https://www.researchpeptide.uk/product/bpc-157-ghk-cu-tb500-kpv-blend-80mg,200 expected,BPC-157 + GHK-CU + TB500 + KPV Blend (80mg) | Research Peptides UK,Multi-component lyophilized blend as listed.,BPC-157 + GHK-CU + TB500 + KPV Blend (80mg),5,https://www.researchpeptide.uk/product/bpc-157-ghk-cu-tb500-kpv-blend-80mg,"index, follow",Product Page
https://www.researchpeptide.uk/product/cerebrolysin,200 expected,Cerebrolysin | Research Peptides UK,Neuropeptide-derived mixture listing.,Cerebrolysin,3,https://www.researchpeptide.uk/product/cerebrolysin,"index, follow",Product Page
https://www.researchpeptide.uk/product/hgh-191aa-somatropin,200 expected,HGH 191AA (Somatropin) | Research Peptides UK,Lyophilized somatropin-class reference material (191 AA). For qualified laboratory research only.,HGH 191AA (Somatropin),11,https://www.researchpeptide.uk/product/hgh-191aa-somatropin,"index, follow",Product Page
https://www.researchpeptide.uk/product/mt-1,200 expected,MT-1 | Research Peptides UK,Synthetic melanotropic peptide.,MT-1,3,https://www.researchpeptide.uk/product/mt-1,"index, follow",Product Page
https://www.researchpeptide.uk/product/hexarelin-acetate,200 expected,Hexarelin Acetate (powder list) | Research Peptides UK,Synthetic GHRP-class hexapeptide (acetate).,Hexarelin Acetate (powder list),4,https://www.researchpeptide.uk/product/hexarelin-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/tesamorelin,200 expected,Tesamorelin (powder list) | Research Peptides UK,GHRH analog for visceral adiposity research contexts.,Tesamorelin (powder list),7,https://www.researchpeptide.uk/product/tesamorelin,"index, follow",Product Page
https://www.researchpeptide.uk/product/vilon,200 expected,VILON | Research Peptides UK,Bioregulatory dipeptide.,VILON,2,https://www.researchpeptide.uk/product/vilon,"index, follow",Product Page
https://www.researchpeptide.uk/product/p21,200 expected,P21 | Research Peptides UK,Neurogenic peptide scaffold.,P21,3,https://www.researchpeptide.uk/product/p21,"index, follow",Product Page
https://www.researchpeptide.uk/product/pnc-27,200 expected,PNC-27 | Research Peptides UK,Oncolytic peptide research analog.,PNC-27,4,https://www.researchpeptide.uk/product/pnc-27,"index, follow",Product Page
https://www.researchpeptide.uk/product/slu-pp-332,200 expected,SLU-PP-332 (powder list) | Research Peptides UK,ERR agonist research small molecule.,SLU-PP-332 (powder list),5,https://www.researchpeptide.uk/product/slu-pp-332,"index, follow",Product Page
https://www.researchpeptide.uk/product/bpc-tb-blend-powder,200 expected,BPC + TB Blend (Powder) | Research Peptides UK,Combined lyophilized BPC / TB scaffold in one pack size.,BPC + TB Blend (Powder),10,https://www.researchpeptide.uk/product/bpc-tb-blend-powder,"index, follow",Product Page
https://www.researchpeptide.uk/product/epo,200 expected,EPO | Research Peptides UK,Erythropoietin-class listing (research).,EPO,3,https://www.researchpeptide.uk/product/epo,"index, follow",Product Page
https://www.researchpeptide.uk/product/foxo4-dri,200 expected,FOXO4-DRI | Research Peptides UK,Cellular senescence pathway research peptide.,FOXO4-DRI,5,https://www.researchpeptide.uk/product/foxo4-dri,"index, follow",Product Page
https://www.researchpeptide.uk/product/glp-1-5mg-vial,200 expected,GLP-1 (5mg/vial) | Research Peptides UK,GLP-1 receptor agonist class (listed pack).,GLP-1 (5mg/vial),6,https://www.researchpeptide.uk/product/glp-1-5mg-vial,"index, follow",Product Page
https://www.researchpeptide.uk/product/gonadorelin-acetate,200 expected,Gonadorelin Acetate | Research Peptides UK,GnRH analog peptide.,Gonadorelin Acetate,3,https://www.researchpeptide.uk/product/gonadorelin-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/mots-c,200 expected,MOTS-c | Research Peptides UK,Mitochondrial-encoded signaling peptide.,MOTS-c,3,https://www.researchpeptide.uk/product/mots-c,"index, follow",Product Page
https://www.researchpeptide.uk/product/adamax,200 expected,Adamax | Research Peptides UK,Semax-derived research analog.,Adamax,3,https://www.researchpeptide.uk/product/adamax,"index, follow",Product Page
https://www.researchpeptide.uk/product/gdf-8-myostatin,200 expected,GDF-8 (Myostatin) | Research Peptides UK,Myostatin propeptide scaffold.,GDF-8 (Myostatin),3,https://www.researchpeptide.uk/product/gdf-8-myostatin,"index, follow",Product Page
https://www.researchpeptide.uk/product/mt-2-melanotan-2-acetate,200 expected,MT-2 (Melanotan 2 Acetate) | Research Peptides UK,Melanocortin receptor agonist (acetate salt). Research use only.,MT-2 (Melanotan 2 Acetate),8,https://www.researchpeptide.uk/product/mt-2-melanotan-2-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/pe-22-28,200 expected,PE 22-28 | Research Peptides UK,Tissue factor pathway research peptide.,PE 22-28,5,https://www.researchpeptide.uk/product/pe-22-28,"index, follow",Product Page
https://www.researchpeptide.uk/product/ss-31,200 expected,SS-31 (powder list) | Research Peptides UK,Mitochondrial-targeted tetrapeptide.,SS-31 (powder list),2,https://www.researchpeptide.uk/product/ss-31,"index, follow",Product Page
https://www.researchpeptide.uk/product/tb500-thymosin-beta-4-acetate,200 expected,TB500 (Thymosin Beta-4 Acetate) | Research Peptides UK,Actin-binding thymosin fragment analog.,TB500 (Thymosin Beta-4 Acetate),4,https://www.researchpeptide.uk/product/tb500-thymosin-beta-4-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/tirzepatide,200 expected,Tirzepatide (powder list) | Research Peptides UK,Dual GIP/GLP-1 agonist scaffold (research).,Tirzepatide (powder list),5,https://www.researchpeptide.uk/product/tirzepatide,"index, follow",Product Page
https://www.researchpeptide.uk/product/ipamorelin,200 expected,Ipamorelin (powder list) | Research Peptides UK,Selective GH secretagogue pentapeptide.,Ipamorelin (powder list),4,https://www.researchpeptide.uk/product/ipamorelin,"index, follow",Product Page
https://www.researchpeptide.uk/product/thymosin-alpha-1,200 expected,Thymosin Alpha-1 (powder list) | Research Peptides UK,Immune-modulatory thymic peptide.,Thymosin Alpha-1 (powder list),3,https://www.researchpeptide.uk/product/thymosin-alpha-1,"index, follow",Product Page
https://www.researchpeptide.uk/product/oxytocin-acetate,200 expected,Oxytocin Acetate (powder list) | Research Peptides UK,Nonapeptide hormone analog (acetate).,Oxytocin Acetate (powder list),4,https://www.researchpeptide.uk/product/oxytocin-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/ll-37,200 expected,LL-37 (powder list) | Research Peptides UK,Cathelicidin-class antimicrobial peptide.,LL-37 (powder list),3,https://www.researchpeptide.uk/product/ll-37,"index, follow",Product Page
https://www.researchpeptide.uk/product/semax,200 expected,Semax (powder list) | Research Peptides UK,ACTH-derived neuropeptide scaffold.,Semax (powder list),3,https://www.researchpeptide.uk/product/semax,"index, follow",Product Page
https://www.researchpeptide.uk/product/5-amino-1mq,200 expected,5-Amino-1MQ | Research Peptides UK,Small-molecule metabolic research compound (listed as powder vials).,5-Amino-1MQ,8,https://www.researchpeptide.uk/product/5-amino-1mq,"index, follow",Product Page
https://www.researchpeptide.uk/product/ara-290,200 expected,Ara-290 | Research Peptides UK,Erythropoietin-derived peptide.,Ara-290,2,https://www.researchpeptide.uk/product/ara-290,"index, follow",Product Page
https://www.researchpeptide.uk/product/botulinum-toxin-100iu,200 expected,Botulinum Toxin (100iu) | Research Peptides UK,Neuromodulator reference vial pack (research).,Botulinum Toxin (100iu),5,https://www.researchpeptide.uk/product/botulinum-toxin-100iu,"index, follow",Product Page
https://www.researchpeptide.uk/product/adipotide,200 expected,Adipotide (powder list) | Research Peptides UK,Pro-apoptotic research peptide.,Adipotide (powder list),3,https://www.researchpeptide.uk/product/adipotide,"index, follow",Product Page
https://www.researchpeptide.uk/product/aod9604,200 expected,AOD9604 | Research Peptides UK,HGH fragment-class metabolic research peptide.,AOD9604,5,https://www.researchpeptide.uk/product/aod9604,"index, follow",Product Page
https://www.researchpeptide.uk/product/aicar,200 expected,AICAR (powder list) | Research Peptides UK,AMPK pathway modulator (research).,AICAR (powder list),4,https://www.researchpeptide.uk/product/aicar,"index, follow",Product Page
https://www.researchpeptide.uk/product/epithalon,200 expected,Epithalon (powder list) | Research Peptides UK,Telomerase pathway research peptide.,Epithalon (powder list),4,https://www.researchpeptide.uk/product/epithalon,"index, follow",Product Page
https://www.researchpeptide.uk/product/ghrp-6-acetate,200 expected,GHRP-6 Acetate | Research Peptides UK,Growth hormone secretagogue peptide (acetate salt).,GHRP-6 Acetate,6,https://www.researchpeptide.uk/product/ghrp-6-acetate,"index, follow",Product Page
https://www.researchpeptide.uk/product/kisspeptin-10,200 expected,Kisspeptin-10 | Research Peptides UK,Kisspeptin fragment analog.,Kisspeptin-10,3,https://www.researchpeptide.uk/product/kisspeptin-10,"index, follow",Product Page
https://www.researchpeptide.uk/product/bpc-157,200 expected,BPC 157 | Research Peptides UK,Pentadecapeptide body-protection compound scaffold.,BPC 157,4,https://www.researchpeptide.uk/product/bpc-157,"index, follow",Product Page
https://www.researchpeptide.uk/product/ghk-cu,200 expected,GHK-CU (powder list) | Research Peptides UK,Copper tripeptide complex.,GHK-CU (powder list),3,https://www.researchpeptide.uk/product/ghk-cu,"index, follow",Product Page
